transaction_id,customer_id,age,monthly_income,timestamp,merchant_category,amount,is_late_night,transactions_last_2hrs,days_since_payday,is_impulsive
TXN_031810,CUST_195,29,25602,2025-12-01 00:03:00,"Fashion (e.g., Myntra, Zara)",10091,1,0.0,0,0
TXN_029762,CUST_183,28,29921,2025-12-01 00:06:00,"Food Delivery (e.g., Zomato, Swiggy)",756,1,0.0,3,1
TXN_010793,CUST_066,23,29252,2025-12-01 00:12:00,"Food Delivery (e.g., Zomato, Swiggy)",1843,1,0.0,0,1
TXN_000292,CUST_002,27,100790,2025-12-01 00:15:00,Nightlife/Dining,3215,1,0.0,0,0
TXN_003908,CUST_023,24,60365,2025-12-01 00:22:00,Nightlife/Dining,1527,1,0.0,0,0
TXN_024191,CUST_149,24,114573,2025-12-01 00:23:00,"Fashion (e.g., Myntra, Zara)",2830,1,0.0,26,0
TXN_023256,CUST_143,23,48521,2025-12-01 00:23:00,"Food Delivery (e.g., Zomato, Swiggy)",482,1,0.0,0,0
TXN_021979,CUST_135,19,67322,2025-12-01 00:29:00,Nightlife/Dining,5343,1,0.0,0,1
TXN_016433,CUST_101,19,83311,2025-12-01 00:29:00,"Gaming/Digital (e.g., Steam, Netflix)",5112,1,0.0,0,1
TXN_004579,CUST_027,18,34847,2025-12-01 00:30:00,"Gaming/Digital (e.g., Steam, Netflix)",3182,1,0.0,0,1
TXN_011157,CUST_068,22,115496,2025-12-01 00:30:00,"Fashion (e.g., Myntra, Zara)",2825,1,0.0,3,1
TXN_018963,CUST_117,28,72160,2025-12-01 00:31:00,Nightlife/Dining,2800,1,0.0,0,0
TXN_025438,CUST_156,25,39087,2025-12-01 00:31:00,"Gaming/Digital (e.g., Steam, Netflix)",1809,1,0.0,0,1
TXN_006173,CUST_037,29,40595,2025-12-01 00:35:00,"Gaming/Digital (e.g., Steam, Netflix)",2375,1,0.0,3,0
TXN_001182,CUST_007,22,43594,2025-12-01 00:35:00,"Gaming/Digital (e.g., Steam, Netflix)",4896,1,0.0,0,1
TXN_010165,CUST_062,25,36826,2025-12-01 00:48:00,Nightlife/Dining,7123,1,0.0,0,1
TXN_024892,CUST_153,28,85448,2025-12-01 01:01:00,"Food Delivery (e.g., Zomato, Swiggy)",809,1,0.0,3,0
TXN_017228,CUST_106,24,61147,2025-12-01 01:02:00,"Food Delivery (e.g., Zomato, Swiggy)",1081,1,0.0,3,1
TXN_032313,CUST_198,23,67275,2025-12-01 01:04:00,"Food Delivery (e.g., Zomato, Swiggy)",1046,1,0.0,26,0
TXN_003602,CUST_021,18,53251,2025-12-01 01:06:00,"Gaming/Digital (e.g., Steam, Netflix)",575,1,0.0,3,0
TXN_002937,CUST_017,28,27312,2025-12-01 01:11:00,"Fashion (e.g., Myntra, Zara)",12565,1,0.0,0,1
TXN_001181,CUST_007,22,43594,2025-12-01 01:14:00,Nightlife/Dining,3030,1,1.0,0,0
TXN_029936,CUST_184,29,68291,2025-12-01 01:17:00,"Fashion (e.g., Myntra, Zara)",7125,1,0.0,26,0
TXN_009994,CUST_061,25,39961,2025-12-01 01:19:00,"Food Delivery (e.g., Zomato, Swiggy)",353,1,0.0,0,1
TXN_030129,CUST_185,27,40651,2025-12-01 01:30:00,"Food Delivery (e.g., Zomato, Swiggy)",202,1,0.0,26,0
TXN_015329,CUST_094,27,27335,2025-12-01 01:33:00,"Food Delivery (e.g., Zomato, Swiggy)",330,1,0.0,26,0
TXN_019312,CUST_119,20,96703,2025-12-01 01:45:00,"Fashion (e.g., Myntra, Zara)",3704,1,0.0,3,1
TXN_011802,CUST_072,21,32514,2025-12-01 01:45:00,"Gaming/Digital (e.g., Steam, Netflix)",1673,1,0.0,3,0
TXN_012952,CUST_079,19,43809,2025-12-01 01:47:00,"Food Delivery (e.g., Zomato, Swiggy)",469,1,0.0,0,1
TXN_010325,CUST_063,19,58847,2025-12-01 01:52:00,"Fashion (e.g., Myntra, Zara)",6741,1,0.0,26,1
TXN_027012,CUST_166,18,50272,2025-12-01 01:58:00,"Gaming/Digital (e.g., Steam, Netflix)",3730,1,0.0,3,1
TXN_032149,CUST_197,21,72990,2025-12-01 02:03:00,"Gaming/Digital (e.g., Steam, Netflix)",9682,1,0.0,0,0
TXN_017227,CUST_106,24,61147,2025-12-01 02:04:00,"Food Delivery (e.g., Zomato, Swiggy)",798,1,1.0,3,1
TXN_031809,CUST_195,29,25602,2025-12-01 02:04:00,"Fashion (e.g., Myntra, Zara)",16209,1,0.0,0,0
TXN_019625,CUST_121,20,87027,2025-12-01 02:10:00,"Fashion (e.g., Myntra, Zara)",1883,1,0.0,3,0
TXN_006170,CUST_037,29,40595,2025-12-01 02:10:00,"Gaming/Digital (e.g., Steam, Netflix)",313,1,1.0,3,0
TXN_030131,CUST_185,27,40651,2025-12-01 02:13:00,"Gaming/Digital (e.g., Steam, Netflix)",1411,1,1.0,26,1
TXN_019793,CUST_122,30,62066,2025-12-01 02:15:00,"Food Delivery (e.g., Zomato, Swiggy)",583,1,0.0,3,1
TXN_007827,CUST_047,20,45086,2025-12-01 02:22:00,"Gaming/Digital (e.g., Steam, Netflix)",3799,1,0.0,3,1
TXN_024549,CUST_151,22,86906,2025-12-01 02:23:00,Nightlife/Dining,6516,1,0.0,0,1
TXN_014764,CUST_090,22,32298,2025-12-01 02:24:00,"Gaming/Digital (e.g., Steam, Netflix)",2362,1,0.0,3,1
TXN_030476,CUST_187,18,106969,2025-12-01 02:28:00,"Food Delivery (e.g., Zomato, Swiggy)",478,1,0.0,3,0
TXN_002565,CUST_015,22,69447,2025-12-01 02:29:00,Nightlife/Dining,10732,1,0.0,0,1
TXN_029411,CUST_181,26,101603,2025-12-01 02:32:00,Nightlife/Dining,2816,1,0.0,3,0
TXN_004933,CUST_029,25,105637,2025-12-01 02:36:00,"Food Delivery (e.g., Zomato, Swiggy)",215,1,0.0,26,0
TXN_016612,CUST_102,23,89839,2025-12-01 02:36:00,"Gaming/Digital (e.g., Steam, Netflix)",4146,1,0.0,0,1
TXN_019795,CUST_122,30,62066,2025-12-01 02:38:00,"Gaming/Digital (e.g., Steam, Netflix)",2176,1,1.0,3,0
TXN_000296,CUST_002,27,100790,2025-12-01 02:55:00,Nightlife/Dining,10461,1,0.0,0,0
TXN_021688,CUST_133,24,86530,2025-12-01 02:56:00,"Gaming/Digital (e.g., Steam, Netflix)",273,1,0.0,26,0
TXN_023586,CUST_145,27,32858,2025-12-01 02:57:00,"Food Delivery (e.g., Zomato, Swiggy)",1386,1,0.0,0,0
TXN_032499,CUST_199,24,110324,2025-12-01 03:00:00,Nightlife/Dining,1193,1,0.0,3,1
TXN_018962,CUST_117,28,72160,2025-12-01 03:01:00,Nightlife/Dining,6879,1,0.0,0,0
TXN_021982,CUST_135,19,67322,2025-12-01 03:06:00,"Fashion (e.g., Myntra, Zara)",5504,1,0.0,0,1
TXN_005877,CUST_035,30,110732,2025-12-01 03:08:00,"Food Delivery (e.g., Zomato, Swiggy)",681,1,0.0,26,0
TXN_002567,CUST_015,22,69447,2025-12-01 03:15:00,"Gaming/Digital (e.g., Steam, Netflix)",2583,1,1.0,0,0
TXN_000491,CUST_003,24,107898,2025-12-01 03:27:00,"Fashion (e.g., Myntra, Zara)",4088,1,0.0,0,1
TXN_015328,CUST_094,27,27335,2025-12-01 03:36:00,"Gaming/Digital (e.g., Steam, Netflix)",380,1,0.0,26,1
TXN_012955,CUST_079,19,43809,2025-12-01 03:42:00,"Gaming/Digital (e.g., Steam, Netflix)",3448,1,1.0,0,1
TXN_005085,CUST_030,25,106482,2025-12-01 03:53:00,"Food Delivery (e.g., Zomato, Swiggy)",1093,1,0.0,3,1
TXN_024194,CUST_149,24,114573,2025-12-01 08:04:00,"Food Delivery (e.g., Zomato, Swiggy)",1165,0,0.0,26,0
TXN_006510,CUST_039,27,71592,2025-12-01 08:04:00,"Healthcare (e.g., Apollo, PharmEasy)",1276,0,0.0,3,1
